reviewer,vote,hotel,city,nation
disilluso,10.0,Residence Soel,Gardena,Italia
 Gabriele B,10.0,Residence Soel,Gardena,Italia
 cristina_dattrino,8.0,Residence Soel,Gardena,Italia
 marcpis,8.0,Residence Soel,Gardena,Italia
Valix,2.0,Hotel Park Victoria, 80075 Forio,Italia
 Paja77,10.0,Hotel Park Victoria, 80075 Forio,Italia
 Barbara B,10.0,Hotel Park Victoria, 80075 Forio,Italia
 nanonose,4.0,Hotel Park Victoria, 80075 Forio,Italia
 Gaspare,8.0,Hotel Park Victoria, 80075 Forio,Italia
Michelina Monzo,10.0,Residenza Porta di Mare,Castellabate,Italia
 Saretta,10.0,Residenza Porta di Mare,Castellabate,Italia
 frangel84,8.0,Residenza Porta di Mare,Castellabate,Italia
 sara f,6.0,Residenza Porta di Mare,Castellabate,Italia
 sveva79,6.0,Residenza Porta di Mare,Castellabate,Italia
Beatrice M,10.0,Villa Sofia,Viterbo,Italia
 Annalisa R,4.0,Villa Sofia,Viterbo,Italia
 leonard w. travel agent,8.0,Villa Sofia,Viterbo,Italia
 GabrieleT10,10.0,Villa Sofia,Viterbo,Italia
 Lulla1973,6.0,Villa Sofia,Viterbo,Italia
"Maria L,2.0,""Bed & Breakfast """" Casa Nonna Zaira """""",Terme,Italia"
" Riccardo G,10.0,""Bed & Breakfast """" Casa Nonna Zaira """""",Terme,Italia"
" Bubi e Bibo,10.0,""Bed & Breakfast """" Casa Nonna Zaira """""",Terme,Italia"
" Porny91,10.0,""Bed & Breakfast """" Casa Nonna Zaira """""",Terme,Italia"
" Claudio G,10.0,""Bed & Breakfast """" Casa Nonna Zaira """""",Terme,Italia"
Maria T,6.0,Hotel Brioni,Trieste,Italia
 Mahia0,10.0,Hotel Brioni,Trieste,Italia
 more,2.0,Hotel Brioni,Trieste,Italia
 AlessiaDavide2014,8.0,Hotel Brioni,Trieste,Italia
 Lisa P,6.0,Hotel Brioni,Trieste,Italia
Ester Omi,6.0,Residenza Pratini, 57027 Montemerano,Italia
 Cenerentola C,4.0,Residenza Pratini, 57027 Montemerano,Italia
 Dante S,8.0,Residenza Pratini, 57027 Montemerano,Italia
 Fabian P,10.0,Residenza Pratini, 57027 Montemerano,Italia
 Xam9999,6.0,Residenza Pratini, 57027 Montemerano,Italia
Marcello C,8.0,Hotel Capri, Capri,Italia
 chiarappa,8.0,Hotel Capri, Capri,Italia
 Vincenzo C,8.0,Hotel Capri, Capri,Italia
 Angelo C,10.0,Hotel Capri, Capri,Italia
 marzio85,8.0,Hotel Capri, Capri,Italia
Ivan I,10.0,B&B Villa Gaudium,Via Casone No. 12,Italia
 Angelo B,10.0,B&B Villa Gaudium,Via Casone No. 12,Italia
 MarialuisaAdp10,10.0,B&B Villa Gaudium,Via Casone No. 12,Italia
 NYO1016,10.0,B&B Villa Gaudium,Via Casone No. 12,Italia
 MARPOLA,8.0,B&B Villa Gaudium,Via Casone No. 12,Italia
Roberta O,10.0,Podere Marcampo,Volterra,Italia
 Andrea C,10.0,Podere Marcampo,Volterra,Italia
 Marco,10.0,Podere Marcampo,Volterra,Italia
 Giada,4.0,Podere Marcampo,Volterra,Italia
 SilviaLzz,10.0,Podere Marcampo,Volterra,Italia
AsiaGreen98,10.0,B&B Cardina,Como,Italia
 Elisabetta,10.0,B&B Cardina,Como,Italia
 eberat,8.0,B&B Cardina,Como,Italia
 karine74,10.0,B&B Cardina,Como,Italia
 Astorione,2.0,B&B Cardina,Como,Italia
sangiuseppe19,8.0,Residenza Prestige Tropea Bed and Breakfast,Tropea,Italia
 Luke,10.0,Residenza Prestige Tropea Bed and Breakfast,Tropea,Italia
 Matteo G,8.0,Residenza Prestige Tropea Bed and Breakfast,Tropea,Italia
 Cinzia A,10.0,Residenza Prestige Tropea Bed and Breakfast,Tropea,Italia
 Jessyjey,10.0,Residenza Prestige Tropea Bed and Breakfast,Tropea,Italia
enzo l,10.0,Hotel Ortler,Castelrotto,Italia
 Franzyroma,10.0,Hotel Ortler,Castelrotto,Italia
 Lorenzo C.,8.0,Hotel Ortler,Castelrotto,Italia
 Paola E,6.0,Hotel Ortler,Castelrotto,Italia
 Mario,2.0,Hotel Ortler,Castelrotto,Italia
Daniela,8.0,Cieloverde Camping Village, 58100 Marina di Grosseto,Italia
 MARCHETTI PIER ANTONIO,8.0,Cieloverde Camping Village, 58100 Marina di Grosseto,Italia
 Stefania P,10.0,Cieloverde Camping Village, 58100 Marina di Grosseto,Italia
 mattiao383,10.0,Cieloverde Camping Village, 58100 Marina di Grosseto,Italia
 Bekind25,6.0,Cieloverde Camping Village, 58100 Marina di Grosseto,Italia
Luca B,4.0,Camping Village Il Sole,Grosseto,Italia
 Elisabetta M,10.0,Camping Village Il Sole,Grosseto,Italia
 Gianni S,4.0,Camping Village Il Sole,Grosseto,Italia
 Enrica A,4.0,Camping Village Il Sole,Grosseto,Italia
 _gelly_,6.0,Camping Village Il Sole,Grosseto,Italia
Milanomarittima2018,10.0,Hotel Casa Sartori,Malcesine,Italia
 Maurizio B,8.0,Hotel Casa Sartori,Malcesine,Italia
 Andrea Moretti,10.0,Hotel Casa Sartori,Malcesine,Italia
 Jessica T,10.0,Hotel Casa Sartori,Malcesine,Italia
 Samantha P,10.0,Hotel Casa Sartori,Malcesine,Italia
Frank,10.0,Hotel Ideale Mare,Marina,Italia
 Lia,8.0,Hotel Ideale Mare,Marina,Italia
 trylly75,6.0,Hotel Ideale Mare,Marina,Italia
 Angela D,10.0,Hotel Ideale Mare,Marina,Italia
 Andrea F,10.0,Hotel Ideale Mare,Marina,Italia
Cristian G,6.0,Hotel Burggraeflerhof,Merano,Italia
 Ciuiga71,8.0,Hotel Burggraeflerhof,Merano,Italia
 Maurizia P,10.0,Hotel Burggraeflerhof,Merano,Italia
 Annalisa N,4.0,Hotel Burggraeflerhof,Merano,Italia
 Olga I,10.0,Hotel Burggraeflerhof,Merano,Italia
detectivetravel,10.0,Il Giardino, 73059 Torre San Giovanni,Italia
michele,10.0,Dimore Barraco, Castellammare del Golfo,Italia
Michele U,2.0,B&B Ai Prati,Via Giuseppe Ungaretti 30,Italia
 Antonello M,2.0,B&B Ai Prati,Via Giuseppe Ungaretti 30,Italia
 Agoisca,6.0,B&B Ai Prati,Via Giuseppe Ungaretti 30,Italia
 nicoteresa22,2.0,B&B Ai Prati,Via Giuseppe Ungaretti 30,Italia
 SaraPischedda,2.0,B&B Ai Prati,Via Giuseppe Ungaretti 30,Italia
Francesca L,8.0,Torre Inserraglio Nardo Marina,Nardo,Italia
 patset,8.0,Torre Inserraglio Nardo Marina,Nardo,Italia
Teresa,10.0,Club Family Hotel Serenissima,Cesenatico,Italia
 Luca B,10.0,Club Family Hotel Serenissima,Cesenatico,Italia
 Ilaria B,10.0,Club Family Hotel Serenissima,Cesenatico,Italia
 patrizio l,10.0,Club Family Hotel Serenissima,Cesenatico,Italia
 milaenacerutti,10.0,Club Family Hotel Serenissima,Cesenatico,Italia
Departure718636,10.0,My Villa Eden residence, 89866 Capo Vaticano,Italia
 Gianluca M,10.0,My Villa Eden residence, 89866 Capo Vaticano,Italia
 paolo emilio l,8.0,My Villa Eden residence, 89866 Capo Vaticano,Italia
 Consolato F,10.0,My Villa Eden residence, 89866 Capo Vaticano,Italia
 Il trequartista,10.0,My Villa Eden residence, 89866 Capo Vaticano,Italia
Carlo_89,10.0,Hotel Bussola, 80071 Anacapri,Italia
 SimbaNapoli,10.0,Hotel Bussola, 80071 Anacapri,Italia
 Rosalisa Maione,8.0,Hotel Bussola, 80071 Anacapri,Italia
 Ilcardinale83,10.0,Hotel Bussola, 80071 Anacapri,Italia
 Emanuela R,8.0,Hotel Bussola, 80071 Anacapri,Italia
Maurizio O,10.0,Turismo Rurale la Rocca, Olbia,Italia
 Enrico C,10.0,Turismo Rurale la Rocca, Olbia,Italia
 Alessandra,10.0,Turismo Rurale la Rocca, Olbia,Italia
 Eleonora D,10.0,Turismo Rurale la Rocca, Olbia,Italia
 alessandra c,10.0,Turismo Rurale la Rocca, Olbia,Italia
Pierino,10.0,Hotel Montana, 38086 Madonna di Campiglio,Italia
 Alessandra Sozzo,10.0,Hotel Montana, 38086 Madonna di Campiglio,Italia
 Valentina Rossetto,10.0,Hotel Montana, 38086 Madonna di Campiglio,Italia
 Consalways,10.0,Hotel Montana, 38086 Madonna di Campiglio,Italia
 Vintagelove,8.0,Hotel Montana, 38086 Madonna di Campiglio,Italia
leonardino123,10.0,B & B Villa Li Cuponi, Arzachena,Italia
 Danila P,10.0,B & B Villa Li Cuponi, Arzachena,Italia
 willi,10.0,B & B Villa Li Cuponi, Arzachena,Italia
 Diego D,10.0,B & B Villa Li Cuponi, Arzachena,Italia
 pietropaolaugolini,10.0,B & B Villa Li Cuponi, Arzachena,Italia
vincenzo a,8.0,Hotel Village Marina, 84063 Paestum,Italia
 Eleonora G,6.0,Hotel Village Marina, 84063 Paestum,Italia
 Valeria Vivacqua,10.0,Hotel Village Marina, 84063 Paestum,Italia
 Rosaria Barretta,10.0,Hotel Village Marina, 84063 Paestum,Italia
 Ciro De Chiara,10.0,Hotel Village Marina, 84063 Paestum,Italia
Ali,10.0,Albergo D&D,Parma,Italia
 Giulio R,6.0,Albergo D&D,Parma,Italia
 Ludy B,4.0,Albergo D&D,Parma,Italia
Claudia C,8.0,hotel villa pagoda,Via Pascoli 8 Via Pascoli 8,Italia
 Monica B,2.0,hotel villa pagoda,Via Pascoli 8 Via Pascoli 8,Italia
 Francesco Colella,6.0,hotel villa pagoda,Via Pascoli 8 Via Pascoli 8,Italia
 Sferranesco,6.0,hotel villa pagoda,Via Pascoli 8 Via Pascoli 8,Italia
 Grazia M,8.0,hotel villa pagoda,Via Pascoli 8 Via Pascoli 8,Italia
Laura C,10.0,La Cage Aux Folles, Taormina,Italia
 Ombretta P,10.0,La Cage Aux Folles, Taormina,Italia
 travaricky,10.0,La Cage Aux Folles, Taormina,Italia
 Patty 71,8.0,La Cage Aux Folles, Taormina,Italia
 Cristina B,10.0,La Cage Aux Folles, Taormina,Italia
francesco1975fr,8.0,Residence Gloria,Terme,Italia
 CaferraG,10.0,Residence Gloria,Terme,Italia
 Fiammetta M,10.0,Residence Gloria,Terme,Italia
 leandro,10.0,Residence Gloria,Terme,Italia
 Jonfree,10.0,Residence Gloria,Terme,Italia
pietrod129,8.0,Agro Residence Li Tumi, 73059 Lido Marini,Italia
 Daniela D,6.0,Agro Residence Li Tumi, 73059 Lido Marini,Italia
Eleonora,10.0,Country House Jamm Ja,Capaccio-Paestum,Italia
 AldoSRV,8.0,Country House Jamm Ja,Capaccio-Paestum,Italia
 Aldo S,8.0,Country House Jamm Ja,Capaccio-Paestum,Italia
 MafyAngel,10.0,Country House Jamm Ja,Capaccio-Paestum,Italia
 Does82,8.0,Country House Jamm Ja,Capaccio-Paestum,Italia
Paolo M,10.0,Le Stanze di Rigoletto,Parma,Italia
 Giuliana S,8.0,Le Stanze di Rigoletto,Parma,Italia
 editTH,10.0,Le Stanze di Rigoletto,Parma,Italia
 Luisa,10.0,Le Stanze di Rigoletto,Parma,Italia
 Alice R,10.0,Le Stanze di Rigoletto,Parma,Italia
S.C.,2.0,Hotel La Ginestra, 80075 Forio,Italia
 Piras Luigi,10.0,Hotel La Ginestra, 80075 Forio,Italia
 Gabriele P,6.0,Hotel La Ginestra, 80075 Forio,Italia
 Enzo_Vecchiarelli,2.0,Hotel La Ginestra, 80075 Forio,Italia
 Domenico Acanfo... G,10.0,Hotel La Ginestra, 80075 Forio,Italia
Giorgia D,10.0,City View Pescara,Pescara,Italia
 vincenzo calandrelli,10.0,City View Pescara,Pescara,Italia
 ricjan4,6.0,City View Pescara,Pescara,Italia
 ieuREX,6.0,City View Pescara,Pescara,Italia
 Matteo&Aurora,10.0,City View Pescara,Pescara,Italia
Norafitsun,8.0,Residence Undulna,Via Gioacchino Rossini 7,Italia
cristina R,10.0,Al Maso Ai Forti, 38123 Mattarello,Italia
 Giopa1971,10.0,Al Maso Ai Forti, 38123 Mattarello,Italia
 Emad68,10.0,Al Maso Ai Forti, 38123 Mattarello,Italia
 Barbara G,10.0,Al Maso Ai Forti, 38123 Mattarello,Italia
 Atena,10.0,Al Maso Ai Forti, 38123 Mattarello,Italia
William B,6.0,Albero Cavo B&B,Parma,Italia
 Stefania F,8.0,Albero Cavo B&B,Parma,Italia
 italianissimo2015,10.0,Albero Cavo B&B,Parma,Italia
 MauroettoM,8.0,Albero Cavo B&B,Parma,Italia
 Daniele M,10.0,Albero Cavo B&B,Parma,Italia
Pierfrancesco Galliena,8.0,Agriturismo Le Palaie, 52010 Capolona,Italia
 Andrea G,8.0,Agriturismo Le Palaie, 52010 Capolona,Italia
Walter-Cristina,10.0,Debora Maison B&B,Via Giovanni Pascoli 8,Italia
 Livia H,10.0,Debora Maison B&B,Via Giovanni Pascoli 8,Italia
 Johnny JML,10.0,Debora Maison B&B,Via Giovanni Pascoli 8,Italia
StefanObkircher,10.0,Affittacamere Via Carducci,Gubbio,Italia
 Andrea Tranquilli,10.0,Affittacamere Via Carducci,Gubbio,Italia
 Lucrezia,10.0,Affittacamere Via Carducci,Gubbio,Italia
 Pietropeluso70,8.0,Affittacamere Via Carducci,Gubbio,Italia
Santo56,2.0,Hotel Martini,Sabbiadoro,Italia
 missAlice91,2.0,Hotel Martini,Sabbiadoro,Italia
 Michele S,2.0,Hotel Martini,Sabbiadoro,Italia
 Monica M,2.0,Hotel Martini,Sabbiadoro,Italia
 Anonimo,4.0,Hotel Martini,Sabbiadoro,Italia
PaoloPP7,8.0,Masseria 77, 72017 Montalbano,Italia
 Rosaria D,10.0,Masseria 77, 72017 Montalbano,Italia
 Francesca V,10.0,Masseria 77, 72017 Montalbano,Italia
Giuliana S,10.0,Agriturismo la Siesta, Marsiliana,Italia
 Mara P,10.0,Agriturismo la Siesta, Marsiliana,Italia
 Andrea B,8.0,Agriturismo la Siesta, Marsiliana,Italia
 Aurora N,10.0,Agriturismo la Siesta, Marsiliana,Italia
 dottor C,10.0,Agriturismo la Siesta, Marsiliana,Italia
Alberto R,10.0,Casa Gallo,Livigno,Italia
 930marco,10.0,Casa Gallo,Livigno,Italia
 Roberta C,10.0,Casa Gallo,Livigno,Italia
 mauro,10.0,Casa Gallo,Livigno,Italia
 Roberto M,10.0,Casa Gallo,Livigno,Italia
Silvia M,10.0,Villa Felice,Volterra,Italia
 demonnuts,8.0,Villa Felice,Volterra,Italia
 Erica84,8.0,Villa Felice,Volterra,Italia
 Rocco M,10.0,Villa Felice,Volterra,Italia
 Michela S,10.0,Villa Felice,Volterra,Italia
moniaqwert,8.0,Hotel La Riviera,Terme,Italia
 Rocca T,10.0,Hotel La Riviera,Terme,Italia
 Michela F,10.0,Hotel La Riviera,Terme,Italia
 Bigirl D,6.0,Hotel La Riviera,Terme,Italia
 Annalisa L,4.0,Hotel La Riviera,Terme,Italia
Anna,10.0,Palazzo Mari,Gimignano,Italia
 Lionello S,10.0,Palazzo Mari,Gimignano,Italia
 Silvia O,10.0,Palazzo Mari,Gimignano,Italia
 Michele S,10.0,Palazzo Mari,Gimignano,Italia
 ViaggiareconAndrea,8.0,Palazzo Mari,Gimignano,Italia
StefanoTDM S,10.0,B&B Palazzo Salgari,Padova,Italia
 Boik,10.0,B&B Palazzo Salgari,Padova,Italia
 alexia1190,10.0,B&B Palazzo Salgari,Padova,Italia
 Blackitten88,10.0,B&B Palazzo Salgari,Padova,Italia
 paolicchio,10.0,B&B Palazzo Salgari,Padova,Italia
mr_camera13,10.0,La Cometa,Fiumicino,Italia
Mauro R,10.0,B&B Fanzago,Galleria Cosimo Fanzago 32,Italia
 Wad_Saeng,8.0,B&B Fanzago,Galleria Cosimo Fanzago 32,Italia
 ely35520,4.0,B&B Fanzago,Galleria Cosimo Fanzago 32,Italia
 piadm13,10.0,B&B Fanzago,Galleria Cosimo Fanzago 32,Italia
 cesare c,10.0,B&B Fanzago,Galleria Cosimo Fanzago 32,Italia
Giuseppe M,10.0,Hotel Garni Villa Anna,Gardena,Italia
 stefanardodavicomerc,10.0,Hotel Garni Villa Anna,Gardena,Italia
 Pier,10.0,Hotel Garni Villa Anna,Gardena,Italia
 Road46762973361,10.0,Hotel Garni Villa Anna,Gardena,Italia
 amazz0ni,10.0,Hotel Garni Villa Anna,Gardena,Italia
CecyJol,10.0,Borgo San Nazzaro,Garda,Italia
 monixxa,10.0,Borgo San Nazzaro,Garda,Italia
 Leonardo S,10.0,Borgo San Nazzaro,Garda,Italia
 Antonella B,6.0,Borgo San Nazzaro,Garda,Italia
 Donatella0473,10.0,Borgo San Nazzaro,Garda,Italia
Luba Lyons,10.0,Trullo Happiness,Ostuni,Italia
 Uttryck,10.0,Trullo Happiness,Ostuni,Italia
Francesca P,8.0,B&B Fontana Vecchia, Taormina,Italia
 Sofia S,10.0,B&B Fontana Vecchia, Taormina,Italia
 Flavio Coletta,10.0,B&B Fontana Vecchia, Taormina,Italia
 Enzo7777...Taaacc...Vincenzo,8.0,B&B Fontana Vecchia, Taormina,Italia
 Ciccioci1980,10.0,B&B Fontana Vecchia, Taormina,Italia
laura p,2.0,Hotel Lazzerini,Terme,Italia
 LuanaLM,2.0,Hotel Lazzerini,Terme,Italia
 antonella b,2.0,Hotel Lazzerini,Terme,Italia
 sheyla73,2.0,Hotel Lazzerini,Terme,Italia
 Tra_Luoghi_e_Sapori,2.0,Hotel Lazzerini,Terme,Italia
Patrizia L,8.0,Hotel Giardino sul Mare,Via Maddalena 65,Italia
 fred20May,10.0,Hotel Giardino sul Mare,Via Maddalena 65,Italia
 fed,10.0,Hotel Giardino sul Mare,Via Maddalena 65,Italia
 M67NGC188,10.0,Hotel Giardino sul Mare,Via Maddalena 65,Italia
 Alberto P,8.0,Hotel Giardino sul Mare,Via Maddalena 65,Italia
Roberto S,8.0,Villa Moschella, Taormina,Italia
 adriana p,6.0,Villa Moschella, Taormina,Italia
 Disoriente P,10.0,Villa Moschella, Taormina,Italia
 Gianluca,10.0,Villa Moschella, Taormina,Italia
 Elisa,10.0,Villa Moschella, Taormina,Italia
23Gemma60,8.0,Duccio Nacci Rooms,Gimignano,Italia
 Maria S,8.0,Duccio Nacci Rooms,Gimignano,Italia
 marcocomu,10.0,Duccio Nacci Rooms,Gimignano,Italia
 GiadaLViare,10.0,Duccio Nacci Rooms,Gimignano,Italia
 Marty267,6.0,Duccio Nacci Rooms,Gimignano,Italia
Thomas B,10.0,Residence Suisse,Viale Giovanni Bovio 67,Italia
 Paolettail,10.0,Residence Suisse,Viale Giovanni Bovio 67,Italia
 Emanuele,10.0,Residence Suisse,Viale Giovanni Bovio 67,Italia
 antonellacapoccia,10.0,Residence Suisse,Viale Giovanni Bovio 67,Italia
 Simona M,10.0,Residence Suisse,Viale Giovanni Bovio 67,Italia
lella,10.0,Hotel Oswald,Canazei,Italia
 Emanuele D,8.0,Hotel Oswald,Canazei,Italia
 Andrea,6.0,Hotel Oswald,Canazei,Italia
 vespinaverde,8.0,Hotel Oswald,Canazei,Italia
 Micky M,8.0,Hotel Oswald,Canazei,Italia
gp10964,6.0,Hotel Parma Mare, 54100 Marina di Massa,Italia
 Giacomo C,8.0,Hotel Parma Mare, 54100 Marina di Massa,Italia
 Samantha T,8.0,Hotel Parma Mare, 54100 Marina di Massa,Italia
 Andrea22M,2.0,Hotel Parma Mare, 54100 Marina di Massa,Italia
 Miu,10.0,Hotel Parma Mare, 54100 Marina di Massa,Italia
Giugiu21,10.0,Fuorlovado 40, Capri,Italia
 Giuseppe saggese,10.0,Fuorlovado 40, Capri,Italia
 Kamego,10.0,Fuorlovado 40, Capri,Italia
 Mrs_Manuela,10.0,Fuorlovado 40, Capri,Italia
 Nicola A,10.0,Fuorlovado 40, Capri,Italia
Diego,10.0,Cala San Francesco B&B,Agropoli,Italia
 Anna V,10.0,Cala San Francesco B&B,Agropoli,Italia
 Giusy1000,10.0,Cala San Francesco B&B,Agropoli,Italia
 Saverio1958_13,6.0,Cala San Francesco B&B,Agropoli,Italia
 Roberto C,10.0,Cala San Francesco B&B,Agropoli,Italia
Francesca G,2.0,Il Marrugio,Viterbo,Italia
 MaxKalb2016,8.0,Il Marrugio,Viterbo,Italia
 Filo R,8.0,Il Marrugio,Viterbo,Italia
 MADD1504,10.0,Il Marrugio,Viterbo,Italia
 Francesco Q,8.0,Il Marrugio,Viterbo,Italia
AdrianoCEFM,10.0,Lamacupa,Fasano,Italia
 maria angela f,8.0,Lamacupa,Fasano,Italia
 arietta,10.0,Lamacupa,Fasano,Italia
 Federica L,10.0,Lamacupa,Fasano,Italia
 Raffaele P,10.0,Lamacupa,Fasano,Italia
Simo_Max2014,10.0,Cesa Stefi,Canazei,Italia
 atreiu73,8.0,Cesa Stefi,Canazei,Italia
 Daniela G,10.0,Cesa Stefi,Canazei,Italia
Pedrinho78,10.0,Garni Selene Hotel,Malcesine,Italia
 TomaszSilesia,10.0,Garni Selene Hotel,Malcesine,Italia
 Elisabeth,10.0,Garni Selene Hotel,Malcesine,Italia
 silversurfer5150,10.0,Garni Selene Hotel,Malcesine,Italia
 hoveto3,10.0,Garni Selene Hotel,Malcesine,Italia
marrei,8.0,Villa Vittoria Charme & Relax,Bergamo,Italia
 PIppomichi,10.0,Villa Vittoria Charme & Relax,Bergamo,Italia
 Alessandro B,10.0,Villa Vittoria Charme & Relax,Bergamo,Italia
 AntonioMick,10.0,Villa Vittoria Charme & Relax,Bergamo,Italia
 tarchiatella,10.0,Villa Vittoria Charme & Relax,Bergamo,Italia
Orlando De Martino,10.0,Masseria La Cornula,Nardo,Italia
 Consiglia M,10.0,Masseria La Cornula,Nardo,Italia
 Aurelio_s90,10.0,Masseria La Cornula,Nardo,Italia
 Giorgia D,10.0,Masseria La Cornula,Nardo,Italia
 Paolo B,8.0,Masseria La Cornula,Nardo,Italia
gcappetti,10.0,Villa Arnilù,Gimignano,Italia
 Kinomar,10.0,Villa Arnilù,Gimignano,Italia
 Elisabetta,8.0,Villa Arnilù,Gimignano,Italia
 Lallini,10.0,Villa Arnilù,Gimignano,Italia
 Monica A,10.0,Villa Arnilù,Gimignano,Italia
Benedetta Dettori,6.0,Camping Le Marze, 58046 Marina di Grosseto,Italia
 ChiaraF,4.0,Camping Le Marze, 58046 Marina di Grosseto,Italia
 IVORWEN ,2019.0,Camping Le Marze, 58046 Marina di Grosseto,Italia
 Agnese O,8.0,Camping Le Marze, 58046 Marina di Grosseto,Italia
 Mr.Bacchettone94,8.0,Camping Le Marze, 58046 Marina di Grosseto,Italia
Azhaar A,6.0,Poggio Baroni Agriturismo,Manciano,Italia
 block81,8.0,Poggio Baroni Agriturismo,Manciano,Italia
 Tiziana Paniccia,10.0,Poggio Baroni Agriturismo,Manciano,Italia
 Massimo B,10.0,Poggio Baroni Agriturismo,Manciano,Italia
 Dembelli,10.0,Poggio Baroni Agriturismo,Manciano,Italia
sandr_77,8.0,Residenza Acqua Terra Fuoco,Como,Italia
Luca73,10.0,Hotel Arabesque, 17024 Varigotti,Italia
 LULI,10.0,Hotel Arabesque, 17024 Varigotti,Italia
 PittiFirenze,2.0,Hotel Arabesque, 17024 Varigotti,Italia
 Jessica C,4.0,Hotel Arabesque, 17024 Varigotti,Italia
 balenadorme,8.0,Hotel Arabesque, 17024 Varigotti,Italia
magmar,10.0,La Minerva, Capri,Italia
 oliviakant,10.0,La Minerva, Capri,Italia
 Alda Rossana R,10.0,La Minerva, Capri,Italia
 Debora63,10.0,La Minerva, Capri,Italia
 Fabrizia C,10.0,La Minerva, Capri,Italia
Karen A,6.0,B&B Il Pescatore Di Sogni,Via Rosmini 6,Italia
 Lanfry,10.0,B&B Il Pescatore Di Sogni,Via Rosmini 6,Italia
 Ami_23,8.0,B&B Il Pescatore Di Sogni,Via Rosmini 6,Italia
Cristina_Maurizio_73,10.0,Hotel Arnolfo & Aqua Laetitia Spa & Beauty,Terme,Italia
 Rina_casa,6.0,Hotel Arnolfo & Aqua Laetitia Spa & Beauty,Terme,Italia
 mgeron142489,8.0,Hotel Arnolfo & Aqua Laetitia Spa & Beauty,Terme,Italia
 ciottistefania,8.0,Hotel Arnolfo & Aqua Laetitia Spa & Beauty,Terme,Italia
 GabriellaRossi,8.0,Hotel Arnolfo & Aqua Laetitia Spa & Beauty,Terme,Italia
Nikoas,6.0,Agriturismo Farm Sper,Manciano,Italia
giuseppe,10.0,Hotel Delfino,Lubrense,Italia
 Archiriky,10.0,Hotel Delfino,Lubrense,Italia
 Heatherheart,10.0,Hotel Delfino,Lubrense,Italia
 Roberto C,10.0,Hotel Delfino,Lubrense,Italia
 BigFranci,8.0,Hotel Delfino,Lubrense,Italia
leonardo86,8.0,Casavacanze Duelupi,Otranto,Italia
melrock,10.0,Il Cuore nelle Apuane,Massa,Italia
miri9297,6.0,Suite Duomo B&B,Via G Frigimelica 20,Italia
